G128 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G129 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G130 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G131 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G132 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G133 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G134 → best=0.0791, avg=0.0490, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G135 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G136 → best=0.0791, avg=0.0501, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G137 → best=0.0791, avg=0.0496, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G138 → best=0.0791, avg=0.0501, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G139 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G140 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G141 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G142 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G143 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G144 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G145 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G146 → best=0.0791, avg=0.0493, H_norm=0.75, mut_cat=0.25, mut_cont=0.07
G147 → best=0.0791, avg=0.0492, H_norm=0.75, mut_cat=0.25, mut_cont=0.07
G148 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G149 → best=0.0791, avg=0.0504, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G150 → best=0.0791, avg=0.0499, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G151 → best=0.0791, avg=0.0500, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G152 → best=0.0791, avg=0.0499, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G153 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G154 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G155 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G156 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G157 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G158 → best=0.0791, avg=0.0498, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G159 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G160 → best=0.0791, avg=0.0494, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G161 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G162 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G163 → best=0.0791, avg=0.0499, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G164 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G165 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G166 → best=0.0791, avg=0.0500, H_norm=0.73, mut_cat=0.25, mut_cont=0.07
G167 → best=0.0791, avg=0.0496, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G168 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G169 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G170 → best=0.0791, avg=0.0493, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G171 → best=0.0791, avg=0.0497, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G172 → best=0.0791, avg=0.0495, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
G173 → best=0.0791, avg=0.0492, H_norm=0.74, mut_cat=0.25, mut_cont=0.07
